player_name,jersey_number,age,country,club,position
Tom Heaton,,40.0,England,Man Utd,Goalkeeper
Amad Diallo,,24.0,Ivory Coast,Man Utd,Midfielder
Andrey Nascimento dos Santos,,22.0,Brazil,Man Utd,Midfielder
Bendito Mantato,,,,Man Utd,Midfielder
Bruno Borges Fernandes,,31.0,Portugal,Man Utd,Midfielder
Bryan Mbeumo,,27.0,Cameroon,Man Utd,Midfielder
Jack Fletcher,,19.0,England,Man Utd,Midfielder
Kobbie Mainoo,,21.0,England,Man Utd,Midfielder
Manuel Ugarte Ribeiro,,25.0,Uruguay,Man Utd,Midfielder
Marcus Rashford,,28.0,England,Man Utd,Midfielder
Mason Mount,,27.0,England,Man Utd,Midfielder
Matheus Santos Carneiro da Cunha,,27.0,Brazil,Man Utd,Midfielder
Patrick Dorgu,,21.0,Denmark,Man Utd,Midfielder
Shea Lacey,,19.0,England,Man Utd,Midfielder
Toby Collyer,,22.0,England,Man Utd,Midfielder
Tyler Fletcher,,19.0,Scotland,Man Utd,Midfielder
Youri Tielemans,,29.0,Belgium,Man Utd,Midfielder
Alex Murphy,,22.0,Ireland,Newcastle,Defender
Amar Dedic,,24.0,Bosnia-Herzegovina,Newcastle,Defender
Dan Burn,,34.0,England,Newcastle,Defender
Fabian Schär,,34.0,Switzerland,Newcastle,Defender
Lewis Hall,,21.0,England,Newcastle,Defender
Malick Thiaw,,25.0,Germany,Newcastle,Defender
Sven Botman,,26.0,Netherlands,Newcastle,Defender
Tino Livramento,,23.0,England,Newcastle,Defender
Nick Woltemade,,24.0,Germany,Newcastle,Forward
Sean Neave,,19.0,England,Newcastle,Forward
William Osula,,23.0,Denmark,Newcastle,Forward
Yoane Wissa,,29.0,"Congo, Democratic Republic of",Newcastle,Forward
Ewen Jaouen,,20.0,France,Newcastle,Goalkeeper
Lukás Hornícek,,24.0,Czech Republic,Newcastle,Goalkeeper
Mark Gillespie,,34.0,England,Newcastle,Goalkeeper
Nick Pope,,34.0,England,Newcastle,Goalkeeper
Aladji Bamba,,20.0,France,Newcastle,Midfielder
Anthony Elanga,,24.0,Sweden,Newcastle,Midfielder
Bazoumana Touré,,20.0,Ivory Coast,Newcastle,Midfielder
Harvey Barnes,,28.0,England,Newcastle,Midfielder
Jacob Murphy,,31.0,England,Newcastle,Midfielder
Jacob Ramsey,,25.0,England,Newcastle,Midfielder
Joe Willock,,27.0,England,Newcastle,Midfielder
Joelinton Cássio Apolinário de Lira,,30.0,Brazil,Newcastle,Midfielder
Lewis Miley,,20.0,England,Newcastle,Midfielder
Sean Steur,,18.0,Netherlands,Newcastle,Midfielder
Felipe Rodrigues da Silva,,25.0,Brazil,Nott'm Forest,Defender
Jair Paula da Cunha Filho,,21.0,Brazil,Nott'm Forest,Defender
Luca Netz,,23.0,Germany,Nott'm Forest,Defender
Murillo Costa dos Santos,,24.0,Brazil,Nott'm Forest,Defender
Neco Williams,,25.0,Wales,Nott'm Forest,Defender
Nicolò Savona,,23.0,Italy,Nott'm Forest,Defender
Nikola Milenković,,28.0,Serbia,Nott'm Forest,Defender
Ola Aina,,29.0,Nigeria,Nott'm Forest,Defender
Omar Richards,,28.0,England,Nott'm Forest,Defender
Ousmane Diomande,,22.0,Ivory Coast,Nott'm Forest,Defender
Tyler Bindon,,21.0,New Zealand,Nott'm Forest,Defender
Zach Abbott,,20.0,England,Nott'm Forest,Defender
Arnaud Kalimuendo,,24.0,France,Nott'm Forest,Forward
Chris Wood,,34.0,New Zealand,Nott'm Forest,Forward
Igor Jesus Maciel da Cruz,,25.0,Brazil,Nott'm Forest,Forward
John Victor Maciel Furtado,,30.0,Brazil,Nott'm Forest,Goalkeeper
Matz Sels,,34.0,Belgium,Nott'm Forest,Goalkeeper
Steven Benda,,27.0,Germany,Nott'm Forest,Goalkeeper
Callum Hudson-Odoi,,25.0,England,Nott'm Forest,Midfielder
Dan Ndoye,,25.0,Switzerland,Nott'm Forest,Midfielder
Dilane Bakwa,,23.0,France,Nott'm Forest,Midfielder
Ibrahim Sangaré,,28.0,Ivory Coast,Nott'm Forest,Midfielder
James McAtee,,23.0,England,Nott'm Forest,Midfielder
Morgan Gibbs-White,,26.0,England,Nott'm Forest,Midfielder
Nicolás Domínguez,,28.0,Argentina,Nott'm Forest,Midfielder
Omari Hutchinson,,22.0,England,Nott'm Forest,Midfielder
Ryan Yates,,28.0,England,Nott'm Forest,Midfielder
Xaver Schlager,,28.0,Austria,Nott'm Forest,Midfielder
Andrew Robertson,,32.0,Scotland,Spurs,Defender
Ashley Phillips,,21.0,England,Spurs,Defender
Ben Davies,,33.0,Wales,Spurs,Defender
Cristian Romero,,28.0,Argentina,Spurs,Defender
Destiny Udogie,,23.0,Italy,Spurs,Defender
Djed Spence,,26.0,England,Spurs,Defender
James Rowswell,,,,Spurs,Defender
Jan Paul van Hecke,,26.0,Netherlands,Spurs,Defender
João Victor de Souza Menezes,,20.0,Brazil,Spurs,Defender
Jun'ai Byfield,,,,Spurs,Defender
Kevin Danso,,27.0,Austria,Spurs,Defender
Marcos Senesi Barón,,29.0,Argentina,Spurs,Defender
Micky van de Ven,,25.0,Netherlands,Spurs,Defender
Pedro Porro Sauceda,,26.0,Spain,Spurs,Defender
Dane Scarlett,,22.0,England,Spurs,Forward
Dominic Solanke-Mitchell,,28.0,England,Spurs,Forward
Richarlison de Andrade,,29.0,Brazil,Spurs,Forward
Antonín Kinský,,23.0,Czech Republic,Spurs,Goalkeeper
Brandon Austin,,27.0,England,Spurs,Goalkeeper
Guglielmo Vicario,,29.0,Italy,Spurs,Goalkeeper
Martin Dubravka,,37.0,Slovakia,Spurs,Goalkeeper
Archie Gray,,20.0,England,Spurs,Midfielder
Callum Olusesi,,,,Spurs,Midfielder
Conor Gallagher,,26.0,England,Spurs,Midfielder
Dejan Kulusevski,,26.0,Sweden,Spurs,Midfielder
James Maddison,,29.0,England,Spurs,Midfielder
Lucas Bergvall,,20.0,Sweden,Spurs,Midfielder
Mateus Fernandes,,22.0,Portugal,Spurs,Midfielder
Mathys Tel,,21.0,France,Spurs,Midfielder
Mikey Moore,,19.0,England,Spurs,Midfielder
Mohammed Kudus,,26.0,Ghana,Spurs,Midfielder
Pape Matar Sarr,,23.0,Senegal,Spurs,Midfielder
Rodrigo Bentancur,,29.0,Uruguay,Spurs,Midfielder
Sandro Tonali,,26.0,Italy,Spurs,Midfielder
Wilson Odobert,,21.0,France,Spurs,Midfielder
Xavi Simons,,23.0,Netherlands,Spurs,Midfielder
Arthur Masuaku,,32.0,"Congo, Democratic Republic of",Sunderland,Defender
Daniel Ballard,,26.0,Northern Ireland,Sunderland,Defender
Jenson Seelt,,23.0,Netherlands,Sunderland,Defender
Leo Fuhr Hjelde,,22.0,Norway,Sunderland,Defender
Luke O'Nien,,31.0,England,Sunderland,Defender
Nordi Mukiele,,28.0,France,Sunderland,Defender
Omar Alderete,,29.0,Paraguay,Sunderland,Defender
Reinildo Mandava,,32.0,Mozambique,Sunderland,Defender
Thomas Meunier,,34.0,Belgium,Sunderland,Defender
Trai Hume,,24.0,Northern Ireland,Sunderland,Defender
Brian Brobbey,,24.0,Netherlands,Sunderland,Forward
Wilson Isidor,,25.0,Haiti,Sunderland,Forward
Anthony Patterson,,26.0,England,Sunderland,Goalkeeper
Melker Ellborg,,23.0,Sweden,Sunderland,Goalkeeper
Robin Roefs,,23.0,Netherlands,Sunderland,Goalkeeper
Chemsdine Talbi,,21.0,Morocco,Sunderland,Midfielder
Chris Rigg,,19.0,England,Sunderland,Midfielder
Djiamgone Jocelin Ta Bi,,21.0,Ivory Coast,Sunderland,Midfielder
Enzo Le Fée,,26.0,France,Sunderland,Midfielder
Granit Xhaka,,33.0,Switzerland,Sunderland,Midfielder
Habib Diarra,,22.0,Senegal,Sunderland,Midfielder
Nilson Angulo,,23.0,Ecuador,Sunderland,Midfielder
Noah Sadiki,,21.0,"Congo, Democratic Republic of",Sunderland,Midfielder
Romaine Mundle,,23.0,England,Sunderland,Midfielder
Simon Adingra,,24.0,Ivory Coast,Sunderland,Midfielder
