,AMC_name,Mutual Fund Name,category,risk_type,fund_rating,return_1yr,return_3yr,return_5yr
252,SBI,SBI Flexicap Fund Direct Growth,Equity,Very High Risk,3.0,2.95,18.55,12.22
253,Aditya,Aditya Birla Sun Life Frontline Equity Direct Fund Growth,Equity,Very High Risk,2.0,3.02,18.52,11.19
254,Baroda,Baroda BNP Paribas Aggressive Hybrid Fund Direct Growth,Hybrid,Very High Risk,5.0,3.38,18.5,13.96
255,Franklin,Franklin India Bluechip Direct Fund Growth,Equity,Very High Risk,2.0,0.01,18.49,10.68
256,Invesco,Invesco India Growth Opportunities Fund Direct Growth,Equity,Very High Risk,3.0,1.89,18.44,13.12
257,HDFC,HDFC Retirement Savings Fund Hybrid Equity Plan Direct Growth,Solution Oriented,Very High Risk,4.0,4.75,18.44,12.82
258,Mirae,Mirae Asset Large Cap Fund Direct Growth,Equity,Very High Risk,4.0,1.21,18.43,13.12
259,Axis,Axis Flexi Cap Fund Direct Growth,Equity,Very High Risk,3.0,-3.68,18.4,
260,Taurus,Taurus Nifty 50 Index Fund Direct Growth,Other,Very High Risk,,2.6,18.39,13.42
261,UTI,UTI Hybrid Equity Fund Direct Fund Growth,Hybrid,Very High Risk,3.0,6.25,18.33,10.42
262,Motilal,Motilal Oswal Focused 25 Fund Direct Growth,Equity,Very High Risk,3.0,-0.24,18.32,11.31
263,Baroda,Baroda BNP Paribas Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,4.0,5.01,18.31,
264,UTI,UTI Nifty 50 Index Fund Direct Growth,Other,Very High Risk,3.0,2.78,18.3,13.33
265,ICICI,ICICI Prudential Nifty 50 Index Direct Plan Growth,Other,Very High Risk,3.0,2.77,18.3,13.16
266,UTI,UTI Dividend Yield Fund Direct Growth,Equity,Very High Risk,,-4.01,18.28,12.31
267,Nippon,Nippon India Index Fund Nifty 50 Plan Direct Growth,Other,Very High Risk,3.0,2.76,18.22,13.2
268,Tata,Tata Nifty 50 Index Direct,Other,Very High Risk,3.0,2.86,18.2,13.26
269,HDFC,HDFC Index Fund Nifty 50 Plan Direct Growth,Other,Very High Risk,3.0,2.71,18.15,13.26
270,DSP,DSP Nifty 50 Index Fund Direct Growth,Other,Moderately High Risk,3.0,2.75,18.06,
271,ICICI,ICICI Prudential S&P BSE Sensex Index Fund Direct Growth,Other,Very High Risk,3.0,2.56,18.05,
272,Sundaram,Sundaram Select Focus Fund Direct Growth,Equity,Very High Risk,5.0,25.71,18.04,18.5
273,Aditya,Aditya Birla Sun Life Nifty 50 Index Fund Direct Growth,Other,Very High Risk,3.0,2.66,18.02,12.8
274,SBI,SBI Nifty Index Direct Plan Growth,Other,Very High Risk,3.0,2.77,18.02,13.1
275,IDBI,IDBI Nifty Index Fund Direct Growth,Other,Very High Risk,3.0,2.81,18.0,13.03
276,Nippon,Nippon India Index Fund S&P BSE Sensex Plan Direct Growth,Other,Very High Risk,4.0,2.68,17.99,14.34
277,LIC,LIC MF Nifty 50 Index Fund Direct Growth,Other,Very High Risk,3.0,2.72,17.97,12.79
278,Shriram,Shriram Long Term Equity Fund Direct Growth,Equity,Very High Risk,3.0,2.99,17.95,
279,IDFC,IDFC Hybrid Equity Fund Direct Growth,Hybrid,Very High Risk,3.0,1.95,17.93,10.21
280,Kotak,Kotak Flexicap Fund Direct Growth,Equity,Very High Risk,3.0,2.29,17.91,12.05
281,Edelweiss,Edelweiss Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,5.0,3.07,17.9,12.6
282,Franklin,Franklin India NSE Nifty 50 Index Direct Growth,Other,Very High Risk,3.0,2.71,17.88,12.79
283,HDFC,HDFC Index S&P BSE Sensex Direct Plan Growth,Other,Very High Risk,4.0,2.61,17.86,14.26
284,Baroda,Baroda BNP Paribas ELSS Direct Growth,Equity,Very High Risk,3.0,-0.43,17.85,11.22
285,IDBI,IDBI Long Term Value Fund Direct Growth,Equity,Very High Risk,2.0,5.19,17.84,
286,Sundaram,Sundaram Large Cap Fund Direct Growth,Equity,Very High Risk,4.0,2.05,17.8,13.32
287,ICICI,ICICI Prudential FMCG Direct Growth,Equity,Very High Risk,,18.37,17.77,13.61
288,Tata,Tata Large Cap Direct Plan Growth,Equity,Very High Risk,2.0,2.56,17.77,11.77
289,Union,Union Largecap Fund Direct Growth,Equity,Very High Risk,2.0,0.71,17.73,10.72
290,LIC,LIC MF S&P BSE Sensex Fund Direct Growth,Other,Very High Risk,3.0,2.5,17.7,13.92
291,HDFC,HDFC Hybrid Equity Fund Direct Plan Growth,Hybrid,Very High Risk,3.0,7.64,17.68,11.73
292,Tata,Tata S&P BSE Sensex Index Direct,Other,Very High Risk,4.0,2.52,17.65,14.19
293,IDBI,IDBI Equity Advantage Fund Direct Growth,Equity,Very High Risk,2.0,5.22,17.64,11.2
294,Tata,Tata Retirement Savings Fund Progressive Plan Direct Growth,Solution Oriented,Very High Risk,3.0,-1.11,17.56,10.85
295,HDFC,HDFC Infrastructure Direct Plan Growth,Equity,Very High Risk,1.0,19.75,17.56,4.19
296,Baroda,Baroda Equity Linked Saving Scheme 96 Direct Growth,Equity,Very High Risk,3.0,18.49,17.55,12.53
297,IDFC,IDFC Flexi Cap Fund Direct Growth,Equity,Very High Risk,2.0,4.53,17.54,9.56
298,Sundaram,Sundaram Aggressive Hybrid Fund Direct Growth,Hybrid,High Risk,3.0,4.34,17.5,12.01
299,Quantum,Quantum Equity Fund of Funds Direct Growth,Other,Very High Risk,2.0,0.53,17.49,10.57
300,L&T,L&T India Large Cap Fund Direct Growth,Equity,Very High Risk,2.0,1.94,17.49,11.57
301,HDFC,HDFC Multi Asset Fund Direct Growth,Hybrid,Very High Risk,4.0,5.46,17.48,11.39
302,Aditya,Aditya Birla Sun Life Financial Planning FoF Aggressive Plan Direct Growth,Other,Very High Risk,3.0,3.5,17.47,10.69
303,DSP,DSP World Mining Fund Direct Plan Growth,Other,Very High Risk,,-5.42,17.39,11.53
304,LIC,LIC MF Large Cap Fund Direct Growth,Equity,Very High Risk,3.0,-0.14,17.37,11.93
305,HSBC,HSBC Large Cap Equity Fund Direct Growth,Equity,Very High Risk,2.0,1.0,17.35,11.4
306,LIC,LIC MF Tax Direct Plan Growth,Equity,Very High Risk,3.0,3.4,17.31,12.53
307,L&T,L&T Flexicap Fund Direct Growth,Equity,Very High Risk,2.0,4.31,17.31,10.39
308,Mirae,Mirae Asset Hybrid Equity Fund Direct Growth,Hybrid,Very High Risk,4.0,2.66,17.22,12.85
309,L&T,L&T Tax Advantage Fund Direct Growth,Equity,Very High Risk,2.0,-0.36,17.19,9.15
310,Axis,Axis Long Term Equity Direct Plan Growth,Equity,Very High Risk,3.0,-7.34,17.18,13.21
311,Shriram,Shriram Flexi Cap Fund Direct Growth,Equity,Very High Risk,2.0,5.62,17.14,
312,Sundaram,Sundaram Equity Hybrid Fund Direct Growth,Hybrid,High Risk,4.0,30.11,17.11,15.7
313,Sundaram,Sundaram Diversified Equity Fund Direct Growth,Equity,Very High Risk,2.0,31.78,17.03,14.26
314,ICICI,ICICI Prudential Passive Strategy Fund (FOF) Direct Growth,Other,Very High Risk,3.0,1.38,16.96,10.83
315,Axis,Axis Focused 25 Direct Plan Growth,Equity,Very High Risk,3.0,-8.87,16.94,12.64
316,DSP,DSP Equity & Bond Direct Growth,Hybrid,Very High Risk,3.0,-1.65,16.91,11.48
317,Navi,Navi ELSS Tax Saver Fund Direct Growth,Equity,Very High Risk,2.0,2.71,16.9,10.27
318,HDFC,HDFC Top 100 Fund Direct Plan Growth,Equity,Very High Risk,2.0,9.64,16.89,11.83
319,Axis,Axis Bluechip Fund Direct Plan Growth,Equity,Very High Risk,5.0,-4.07,16.87,14.55
320,UTI,UTI MNC Fund Direct Growth,Equity,Very High Risk,,2.65,16.87,10.53
321,Tata,Tata Retirement Savings Fund Moderate Plan Direct Growth,Solution Oriented,Very High Risk,3.0,0.95,16.83,10.35
322,Axis,Axis Triple Advantage Direct Plan Growth,Hybrid,Very High Risk,3.0,-0.81,16.75,12.11
323,Tata,Tata Hybrid Equity Fund Direct Plan Growth,Hybrid,Very High Risk,3.0,5.23,16.66,10.65
324,Franklin,Franklin India Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,3.0,3.06,16.65,11.23
325,Sundaram,Sundaram Financial Services Opportunities Fund Direct Growth,Equity,Very High Risk,4.0,5.92,16.65,11.54
326,DSP,DSP Focus Direct Plan Growth,Equity,Very High Risk,2.0,-2.75,16.65,10.04
327,HSBC,HSBC Managed Solutions India Growth Fund Direct Growth,Other,Very High Risk,2.0,0.92,16.59,9.85
328,ICICI,ICICI Prudential BHARAT 22 FOF Direct Growth,Other,Very High Risk,1.0,27.14,16.53,
329,L&T,L&T Focused Equity Fund Direct Growth,Equity,Very High Risk,3.0,-1.83,16.48,
330,ICICI,ICICI Prudential Retirement Fund Hybrid Aggressive Plan Direct Growth,Solution Oriented,Moderately High Risk,4.0,4.95,16.4,
331,Taurus,Taurus Largecap Equity Fund Direct Growth,Equity,Very High Risk,1.0,7.7,16.39,9.07
332,Taurus,Taurus Tax Shield Direct Growth,Equity,Very High Risk,3.0,0.88,16.37,10.49
333,JM,JM Large Cap Fund Direct Plan Growth,Equity,Very High Risk,4.0,4.11,16.29,10.93
334,Franklin,Franklin India Life Stage FoF The 20s Plan Direct Growth,Other,Very High Risk,2.0,3.2,16.28,9.36
335,Axis,Axis Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,3.0,-0.12,16.27,
336,Indiabulls,Indiabulls Tax Savings Fund Direct Growth,Equity,Very High Risk,2.0,3.03,16.25,
337,SBI,SBI Equity Hybrid Fund Direct Plan Growth,Hybrid,Very High Risk,4.0,3.56,16.2,12.58
338,PGIM,PGIM India Large Cap Fund Direct Plan Growth,Equity,Very High Risk,2.0,-2.38,16.19,11.02
339,Motilal,Motilal Oswal Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,3.0,2.2,16.17,
340,Sundaram,Sundaram Smart NIFTY 100 Equal Weight Fund Direct Growth,Other,Very High Risk,2.0,34.35,16.08,
341,SBI,SBI PSU Direct Plan Growth,Equity,Very High Risk,,18.28,16.03,3.88
342,Aditya,Aditya Birla Sun Life Asset Allocator FoF Direct Growth,Other,High Risk,5.0,2.38,16.03,9.99
343,Nippon,Nippon India Banking & Financial Services Fund Direct Growth,Equity,Very High Risk,3.0,9.31,15.99,8.6
344,HDFC,HDFC Housing Opportunities Fund Direct Growth,Equity,Very High Risk,,4.97,15.97,
345,DSP,DSP US Flexible Equity Direct Plan Growth,Other,Very High Risk,,-2.17,15.92,14.99
346,HDFC,HDFC Dynamic PE Ratio FoF Direct Growth,Other,High Risk,3.0,7.53,15.84,10.58
347,Quantum,Quantum Tax Saving Fund Direct Growth,Equity,Very High Risk,2.0,2.87,15.81,9.67
348,SBI,SBI Banking & Financial Services Fund Direct Growth,Equity,Very High Risk,5.0,4.0,15.76,12.99
349,HSBC,HSBC Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,3.0,-0.38,15.7,
350,Aditya,Aditya Birla Sun Life International Equity Fund Plan B Direct Growth,Equity,Very High Risk,,26.07,15.65,12.41
351,Quantum,Quantum Long Term Equity Value Fund Direct Growth,Equity,Very High Risk,2.0,2.62,15.63,9.53
352,Tata,Tata Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,4.0,6.47,15.63,
353,Taurus,Taurus Flexi Cap Fund Direct Growth,Equity,Very High Risk,1.0,5.7,15.52,6.97
354,Bank,Bank of India Conservative Hybrid Fund Direct Growth,Hybrid,Moderately High Risk,3.0,21.73,15.41,7.02
355,Indiabulls,Indiabulls Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,3.0,3.89,15.14,
356,DSP,DSP Top 100 Equity Direct Plan Growth,Equity,Very High Risk,1.0,-3.23,15.11,8.78
357,Baroda,Baroda Hybrid Equity Fund Direct Plan Growth,Hybrid,Very High Risk,3.0,15.64,15.04,12.27
358,Aditya,Aditya Birla Sun Life Banking & Financial Services Fund Direct Growth,Equity,Very High Risk,3.0,1.63,15.0,8.19
359,Indiabulls,Indiabulls Bluechip Direct Fund Growth,Equity,Very High Risk,1.0,2.9,14.92,10.32
360,ICICI,ICICI Prudential Asset Allocator Fund (FOF) Direct Growth,Other,Moderately High Risk,4.0,7.35,14.91,11.83
361,Aditya,Aditya Birla Sun Life Equity Hybrid '95 Fund Direct Growth,Hybrid,Very High Risk,2.0,-0.47,14.77,8.46
362,HSBC,HSBC Managed Solutions India Moderate Fund Direct Growth,Other,High Risk,2.0,1.14,14.77,9.16
363,Nippon,Nippon India Retirement Fund Wealth Creation Scheme Direct Growth,Solution Oriented,Very High Risk,1.0,2.82,14.72,7.84
364,Invesco,Invesco India Financial Services Fund Direct Growth,Equity,Very High Risk,4.0,0.5,14.69,10.5
365,Baroda,Baroda Large Cap Direct Fund Growth,Equity,Very High Risk,2.0,6.97,14.64,11.35
366,Tata,Tata Banking and Financial Services Fund Direct Growth,Equity,Very High Risk,4.0,1.49,14.61,10.2
367,Sundaram,Sundaram Global Brand Direct Growth,Other,Very High Risk,,17.33,14.49,11.83
368,ICICI,ICICI Prudential Balanced Advantage Direct Growth,Hybrid,Moderately High Risk,4.0,8.85,14.46,11.01
369,Aditya,Aditya Birla Sun Life Retirement Fund The 30s Plan Direct Growth,Solution Oriented,Moderately High Risk,1.0,0.18,14.44,
370,Shriram,Shriram Hybrid Equity Fund Direct Growth,Hybrid,Very High Risk,3.0,2.26,14.41,9.96
371,L&T,L&T Hybrid Equity Fund Direct Growth,Hybrid,Very High Risk,2.0,-0.27,14.4,8.7
372,Taurus,Taurus Banking & Financial Services Fund Direct Growth,Equity,Very High Risk,4.0,4.98,14.39,11.18
373,Mahindra,Mahindra Manulife Equity Savings Dhan Sanchay Yojana Direct Growth,Hybrid,Moderately High Risk,4.0,4.6,14.31,9.69
374,IDBI,IDBI Hybrid Equity Fund Direct Growth,Hybrid,Very High Risk,2.0,2.39,14.31,7.81
375,ICICI,ICICI Prudential US Bluechip Equity Direct Plan Growth,Equity,Very High Risk,,-7.24,14.27,15.92
376,Navi,Navi Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,3.0,3.96,14.19,
377,LIC,LIC MF Flexi Cap Fund Direct Growth,Equity,Very High Risk,2.0,0.51,14.18,10.62
378,Aditya,Aditya Birla Sun Life Financial Planning FoF Moderate Plan Direct Growth,Other,High Risk,3.0,3.47,14.08,9.3
379,Invesco,Invesco India Equity & Bond Fund Direct Growth,Hybrid,Very High Risk,2.0,1.95,14.02,
380,Aditya,Aditya Birla Sun Life Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,3.0,3.55,13.94,9.54
381,Mirae,Mirae Asset Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,5.0,4.3,13.93,
382,ICICI,ICICI Prudential Banking and Financial Services Direct Plan Growth,Equity,Very High Risk,3.0,2.77,13.92,8.66
383,IDFC,IDFC Asset Allocation Aggressive Direct Plan Growth,Other,High Risk,2.0,1.51,13.83,8.09
384,Union,Union Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,4.0,3.59,13.82,
385,PGIM,PGIM India Hybrid Equity Fund Direct Plan Growth,Hybrid,Very High Risk,1.0,-4.35,13.79,8.98
386,Nippon,Nippon India Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,3.0,5.4,13.78,10.05
387,Aditya,Aditya Birla Sun Life Tax Relief 96 Direct Growth,Equity,Very High Risk,1.0,-1.47,13.75,8.83
388,ITI,ITI Multi Cap Fund Direct Growth,Equity,Moderately High Risk,,-2.03,13.64,
389,Aditya,Aditya Birla Sun Life Commodity Equities Fund Global Agri Plan Direct Growth,Equity,Very High Risk,,29.21,13.59,9.45
390,Edelweiss,Edelweiss US Value Equity Offshore Fund Direct Growth,Other,Very High Risk,,3.39,13.53,12.88
391,Kotak,Kotak Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,4.0,4.52,13.5,
392,Kotak,Kotak Global Emerging Market Fund Direct Growth,Other,Very High Risk,,-6.23,13.49,10.77
393,UTI,UTI Retirement Benefit Pension Fund Direct,Solution Oriented,High Risk,,6.68,13.45,7.8
394,Kotak,Kotak US Equity Fund Standard Direct Growth,Other,High Risk,1.0,17.14,13.24,11.67
395,JM,JM Focused Direct Plan Growth,Equity,Very High Risk,1.0,3.85,13.22,8.0
396,LIC,LIC MF Banking & Financial Services Fund Direct Growth,Equity,Very High Risk,1.0,9.15,13.14,6.74
397,Kotak,Kotak Debt Hybrid Fund Direct Growth,Hybrid,Moderately High Risk,5.0,6.35,13.02,9.76
398,IDBI,IDBI Banking & Financial Services Fund Direct Growth,Equity,Very High Risk,2.0,2.61,12.98,
399,IDFC,IDFC Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,3.0,1.26,12.96,9.66
400,Shriram,Shriram Balanced Advantage Fund Direct Growth,Hybrid,Moderately High Risk,4.0,5.4,12.93,
401,Aditya,Aditya Birla Sun Life Retirement Fund The 40s Plan Direct Growth,Solution Oriented,Moderately High Risk,1.0,0.52,12.74,
402,SBI,SBI Multi Asset Allocation Fund Direct Growth,Hybrid,High Risk,4.0,5.87,12.74,10.08
403,Aditya,Aditya Birla Sun Life MNC Direct Fund Growth,Equity,Very High Risk,,-0.11,12.63,8.15
404,Aditya,Aditya Birla Sun Life Global Emerging Opportunities Fund Direct Growth,Other,Very High Risk,,-10.9,12.53,8.8
405,Baroda,Baroda BNP Paribas Banking and Financial Services Direct Growth,Equity,Very High Risk,2.0,5.4,12.42,9.18
406,Franklin,Franklin India Life Stage FoF The 30s Plan Direct Growth,Other,High Risk,,4.03,12.14,8.08
407,SBI,SBI Conservative Hybrid Fund Direct Growth,Hybrid,Moderately High Risk,4.0,6.88,12.06,8.32
408,Navi,Navi Large Cap Equity Fund Direct Growth,Equity,Very High Risk,2.0,-0.54,12.05,8.79
409,L&T,L&T Equity Savings Fund Direct Growth,Hybrid,Moderate Risk,2.0,3.54,12.0,7.92
410,Motilal,Motilal Oswal Flexi Cap Fund Direct Growth,Equity,Very High Risk,1.0,-5.4,11.94,6.34
411,Franklin,Franklin India Dynamic Asset Allocation Fund of Funds Direct Growth,Other,High Risk,3.0,10.03,11.89,9.66
412,HDFC,HDFC Equity Savings Direct Plan Growth,Hybrid,Moderately High Risk,3.0,6.08,11.86,9.03
413,Nippon,Nippon India Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,1.0,6.11,11.82,6.2
414,UTI,UTI Banking and Financial Services Fund Direct Plan Growth,Equity,Very High Risk,2.0,4.35,11.75,5.84
415,SBI,SBI Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,4.0,3.63,11.67,8.67
416,LIC,LIC MF Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,2.0,-0.24,11.66,9.66
417,Bank,Bank of India Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,2.0,14.12,11.6,5.35
418,DSP,DSP Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,2.0,3.36,11.46,7.95
419,Edelweiss,Edelweiss Equity Savings Fund Direct Growth,Hybrid,High Risk,5.0,3.64,11.41,9.45
420,Kotak,Kotak Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,4.0,8.22,11.39,9.08
421,Sundaram,Sundaram Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,4.0,5.97,11.37,8.7
422,Navi,Navi 3 in 1 Fund Direct Growth,Hybrid,Very High Risk,2.0,2.26,11.36,8.96
423,DSP,DSP Dynamic Asset Allocation Fund Direct Growth,Hybrid,Moderately High Risk,4.0,2.37,11.36,8.7
424,Nippon,Nippon India US Equity Opportunities Fund Direct Growth,Equity,Very High Risk,,-12.48,11.28,14.68
425,Invesco,Invesco India Dynamic Equity Fund Direct Growth,Hybrid,Very High Risk,2.0,2.2,11.24,7.31
426,UTI,UTI Multi Asset Fund Direct Growth,Hybrid,Very High Risk,2.0,2.0,11.2,7.59
427,Canara,Canara Robeco Conservative Hybrid Fund Direct Growth,Hybrid,Moderate Risk,5.0,3.36,11.18,8.95
428,UTI,UTI Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,4.0,6.25,11.18,
429,Axis,Axis Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,2.0,1.58,11.13,8.86
430,Axis,Axis Equity Saver Fund Direct Growth,Hybrid,Moderately High Risk,3.0,1.15,11.1,9.27
431,Franklin,Franklin Asian Equity Direct Fund Growth,Equity,Very High Risk,,-10.94,11.07,10.82
432,Aditya,Aditya Birla Sun Life Regular Savings Fund Direct Growth,Hybrid,Moderately High Risk,3.0,6.38,10.86,6.95
433,Aditya,Aditya Birla Sun Life Financial Planning FoF Conservative Plan Direct Growth,Other,Moderately High Risk,4.0,3.41,10.82,7.9
434,Axis,Axis Regular Saver Fund Direct Growth,Hybrid,Moderately High Risk,3.0,2.88,10.73,7.51
435,ICICI,ICICI Prudential Regular Savings Fund Direct Growth,Hybrid,Moderately High Risk,5.0,6.7,10.72,8.97
436,PGIM,PGIM India Global Equity Opportunities Fund Direct Growth,Other,Very High Risk,,-33.56,10.67,13.53
437,Aditya,Aditya Birla Sun Life Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,2.0,-0.53,10.67,6.89
438,IDFC,IDFC Asset Allocation Moderate Direct Growth,Other,High Risk,,1.88,10.66,7.51
439,HDFC,HDFC Hybrid Debt Fund Direct Growth,Hybrid,Moderately High Risk,3.0,5.84,10.61,7.71
440,Franklin,Franklin India Equity Savings Fund Direct Growth,Hybrid,Moderate Risk,2.0,5.4,10.55,
441,UTI,UTI Focussed Equity Fund Series VI (1150 Days) Direct Growth,Equity,Very High Risk,,63.05,10.5,
442,L&T,L&T Balanced Advantage Fund Direct Growth,Hybrid,Moderately High Risk,3.0,2.58,10.5,8.64
443,Sundaram,Sundaram Debt Oriented Hybrid Fund Direct Plan Growth,Hybrid,Moderately High Risk,2.0,9.36,10.28,6.3
444,Reliance,Reliance Focused Large Cap Fund Direct Growth,Equity,Moderately High Risk,3.0,9.37,10.27,16.38
445,Motilal,Motilal Oswal Dynamic Fund Direct Growth,Hybrid,Very High Risk,2.0,1.96,10.26,7.21
446,IDBI,IDBI Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,2.0,3.62,10.03,7.16
447,Baroda,Baroda Conservative Hybrid Fund Direct Growth,Hybrid,Moderately High Risk,4.0,4.24,9.98,8.77
448,UTI,UTI Regular Savings Fund Direct Growth,Hybrid,Moderately High Risk,3.0,6.13,9.94,7.3
449,Tata,Tata Equity Savings Fund Direct Growth,Hybrid,Moderate Risk,2.0,4.17,9.86,7.54
450,ICICI,ICICI Prudential Income Optimizer Fund (FOF) Direct Growth,Other,Moderate Risk,4.0,5.99,9.65,8.42
451,HDFC,HDFC Fixed Maturity Plan 1141 Days August 2018 (1) Direct Growth,Debt,Moderately High Risk,3.0,9.19,9.52,
452,PGIM,PGIM India Equity Savings Fund Direct Growth,Hybrid,Low to Moderate Risk,3.0,3.73,9.5,8.23
453,IDFC,IDFC Equity Savings Fund Direct Growth,Hybrid,Low to Moderate Risk,2.0,3.42,9.47,7.24
454,Axis,Axis Gold Direct Plan Growth,Other,High Risk,4.0,6.09,9.37,10.64
455,HDFC,HDFC Retirement Savings Fund Hybrid Debt Plan Direct Growth,Solution Oriented,Moderately High Risk,4.0,4.85,9.35,7.7
456,Quantum,Quantum Multi Asset Fund of Funds Direct Growth,Other,Moderately High Risk,3.0,4.34,9.28,7.92
457,SBI,SBI Gold Direct Plan Growth,Other,High Risk,3.0,5.78,9.19,9.92
458,Baroda,Baroda BNP Paribas Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,3.0,4.26,9.18,
459,Invesco,Invesco India Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,3.0,1.58,9.14,
460,DSP,DSP Regular Savings Direct Plan Growth,Hybrid,Moderate Risk,2.0,2.11,9.14,5.83
461,Tata,Tata Retirement Savings Fund Conservative Plan Direct Growth,Solution Oriented,Moderately High Risk,3.0,1.24,9.13,7.23
462,Aditya,Aditya Birla Sun Life Gold Direct Fund Growth,Other,High Risk,2.0,5.62,9.11,9.81
463,HSBC,HSBC Regular Savings Fund Direct Growth,Hybrid,Moderately High Risk,3.0,2.37,9.11,7.02
464,HDFC,HDFC Gold Direct Plan Growth,Other,High Risk,4.0,5.68,9.11,9.87
465,UTI,UTI Dynamic Bond Fund Direct Growth,Debt,Low to Moderate Risk,,19.71,9.1,5.57
466,Tata,Tata Dividend Yield Fund Direct Growth,Equity,Very High Risk,,2.99,9.08,16.72
467,Invesco,Invesco India Gold Fund Direct Growth,Other,High Risk,3.0,6.05,9.04,9.47
468,Nippon,Nippon India Gold Savings Fund Direct Growth,Other,High Risk,2.0,5.41,9.01,9.7
469,ICICI,ICICI Prudential Retirement Fund Hybrid Conservative Plan Direct Growth,Solution Oriented,Moderately High Risk,4.0,2.94,8.97,
470,Invesco,Invesco India Invesco Global Equity Income FoF Direct Growth,Other,Very High Risk,3.0,-7.87,8.96,7.94
471,Baroda,Baroda BNP Paribas Credit Risk Fund Direct Growth,Debt,Moderately High Risk,5.0,12.81,8.94,7.46
472,ICICI,ICICI Prudential Regular Gold Savings (FOF) Direct Growth,Other,High Risk,3.0,5.47,8.92,10.22
473,Union,Union Equity Savings Fund Direct Growth,Hybrid,Moderate Risk,2.0,1.79,8.87,
474,Quantum,Quantum Gold Savings Fund Direct Growth,Other,High Risk,2.0,5.66,8.87,9.77
475,ICICI,ICICI Prudential Equity Savings Fund Direct Growth,Hybrid,Low to Moderate Risk,3.0,6.7,8.65,7.84
476,Kotak,Kotak Gold Fund Direct Growth,Other,High Risk,4.0,5.09,8.6,10.39
477,Franklin,Franklin India Life Stage FoF The 50s Plus Floating Rate Direct Plan Growth,Other,Moderate Risk,3.0,4.79,8.58,7.46
478,Baroda,Baroda BNP Paribas Conservative Hybrid Fund Direct Growth,Hybrid,Moderately High Risk,4.0,3.13,8.5,7.76
479,ICICI,ICICI Prudential Global Stable Equity Fund (FOF) Direct Growth,Other,Very High Risk,,-3.61,8.45,8.96
480,JM,JM Low Duration Fund Direct Plan Growth,Debt,Low to Moderate Risk,4.0,3.81,8.37,5.3
481,UTI,UTI Short term Income Direct Growth,Debt,Low to Moderate Risk,5.0,8.34,8.34,5.19
482,Aditya,Aditya Birla Sun Life International Equity Fund Plan A Direct Growth,Equity,Very High Risk,,-10.02,8.3,11.11
483,ICICI,ICICI Prudential Credit Risk Fund Direct Plan Growth,Debt,High Risk,4.0,5.4,8.28,8.06
484,UTI,UTI Fixed Term Income Fund Series XXX II (1107 Days) Direct Growth,Debt,Low to Moderate Risk,,4.18,8.17,
485,UTI,UTI Fixed Term Income Fund Series XXIX VIII (1127 Days) Direct Growth,Debt,Low to Moderate Risk,,4.19,8.15,
486,HDFC,HDFC Credit Risk Debt Fund Direct Growth,Debt,Moderately High Risk,4.0,4.19,8.14,7.55
487,Franklin,Franklin India Life Stage FoF The 40s Plan Direct Growth,Other,Moderately High Risk,1.0,5.43,8.09,6.46
488,ICICI,ICICI Prudential Medium Term Bond Fund Direct Plan Growth,Debt,Moderately High Risk,5.0,4.35,8.02,7.36
489,IDBI,IDBI Gold Direct Growth,Other,High Risk,1.0,6.59,8.0,9.47
490,IDBI,IDBI Short Term Bond Fund Direct Growth,Debt,Moderate Risk,4.0,11.09,7.98,6.9
491,Franklin,Franklin India Debt Hybrid Fund Direct Growth,Hybrid,Moderately High Risk,3.0,3.36,7.93,6.71
492,ICICI,ICICI Prudential All Seasons Bond Fund Direct Plan Growth,Debt,Moderate Risk,5.0,4.25,7.89,7.52
493,UTI,UTI Fixed Term Income Fund Series XXIII XV (1176 Days) Direct Growth,Debt,Moderate Risk,,7.75,7.88,
